Country,GDP_mean,GDP_2005,GDP_2025,Growth_abs,Growth_pct
Afghanistan,15863.619047619048,6167.0,17248.0,11081.0,179.6821793416572
Albania,15063.52380952381,8148.0,28372.0,20224.0,248.20814923907707
Algeria,195203.33333333334,107047.0,268885.0,161838.0,151.18405933842146
Andorra,3406.5238095238096,3158.0,4035.0,877.0,27.77074097530082
Angola,107808.38095238095,41397.0,113343.0,71946.0,173.79520255090947
Antigua and Barbuda,1565.1904761904761,1144.0,2373.0,1229.0,107.43006993006993
Argentina,495449.7619047619,199273.0,683533.0,484260.0,243.01335354011835
Armenia,13055.57142857143,4900.0,26258.0,21358.0,435.87755102040813
Aruba,2961.0476190476193,2360.0,4100.0,1740.0,73.72881355932203
Australia,1360977.5714285714,736505.0,1771681.0,1035176.0,140.5524741855113
Austria,428247.90476190473,314126.0,534301.0,220175.0,70.09130094293373
Azerbaijan,53704.42857142857,13239.0,78870.0,65631.0,495.73985950600496
Bahamas,11591.0,9836.0,15178.0,5342.0,54.310695404636036
Bahrain,34015.0,16647.0,47829.0,31182.0,187.3130293746621
Bangladesh,257985.04761904763,79530.0,467218.0,387688.0,487.47390921664777
Barbados,5558.285714285715,4213.0,7552.0,3339.0,79.25468787087586
Belarus,60446.76190476191,31239.0,71561.0,40322.0,129.07583469381223
Belgium,527117.380952381,385927.0,684864.0,298937.0,77.45946772317043
Belize,2221.3809523809523,1475.0,3611.0,2136.0,144.8135593220339
Benin,13190.809523809523,6571.0,22236.0,15665.0,238.39598234667477
Bhutan,2113.6190476190477,818.0,3422.0,2604.0,318.3374083129584
Bolivia,31571.809523809523,9573.0,56339.0,46766.0,488.51979525749505
Bosnia and Herzegovina,19658.14285714286,11223.0,28807.0,17584.0,156.67825002227568
Botswana,14913.285714285714,9833.0,19400.0,9567.0,97.29482355334079
Brazil,1905401.0,891633.0,2125958.0,1234325.0,138.4341988239556
Brunei,14471.809523809523,10561.0,16007.0,5446.0,51.56708645014677
Bulgaria,65105.57142857143,29868.0,117007.0,87139.0,291.7470202223115
Burkina Faso,14358.047619047618,6150.0,27056.0,20906.0,339.9349593495935
Burundi,2870.4285714285716,1117.0,6745.0,5628.0,503.84959713518356
Cambodia,25794.571428571428,7058.0,49799.0,42741.0,605.5681496174553
Cameroon,35649.28571428572,19534.0,56011.0,36477.0,186.73594757858095
Canada,1737796.0476190476,1173505.0,2225341.0,1051836.0,89.6319998636563
Cape Verde,2024.3333333333333,1395.0,2786.0,1391.0,99.71326164874552
Central African Republic,2163.095238095238,1413.0,2932.0,1519.0,107.50176928520878
Chad,15079.952380952382,8660.0,18792.0,10132.0,116.99769053117784
Chile,252111.0,122315.0,343823.0,221508.0,181.09634958917547
China,11109020.857142856,2325515.0,19231705.0,16906190.0,726.9869254767224
Colombia,306498.8095238095,145600.0,427766.0,282166.0,193.79532967032966
Comoros,1078.6190476190477,656.0,1548.0,892.0,135.97560975609758
Costa Rica,54547.142857142855,20049.0,102591.0,82542.0,411.7013317372438
Croatia,63844.47619047619,45035.0,98951.0,53916.0,119.7202176085267
Cyprus,26403.761904761905,18713.0,38736.0,20023.0,107.00048094907284
Czech Republic,238765.2857142857,137264.0,360244.0,222980.0,162.4460892877958
DR Congo,39977.142857142855,12720.0,79119.0,66399.0,522.0047169811321
Denmark,349331.38095238095,265150.0,449940.0,184790.0,69.69262681501037
Djibouti,2484.7619047619046,996.0,4587.0,3591.0,360.5421686746988
Dominica,532.6666666666666,364.0,742.0,378.0,103.84615384615385
Dominican Republic,75122.42857142857,35948.0,127828.0,91880.0,255.59140981417605
Ecuador,90160.28571428571,40279.0,125677.0,85398.0,212.0161870950123
Egypt,287858.5714285714,94127.0,347342.0,253215.0,269.01420421345625
El Salvador,24074.571428571428,14698.0,36749.0,22051.0,150.02721458701865
Equatorial Guinea,14513.952380952382,8191.0,12684.0,4493.0,54.85288731534611
Eritrea,1786.2857142857142,850.0,1982.0,1132.0,133.1764705882353
Estonia,28159.52380952381,14129.0,45004.0,30875.0,218.52218840682283
Eswatini,4315.0952380952385,3177.0,5483.0,2306.0,72.584198929808
Ethiopia,67727.28571428571,12387.0,117457.0,105070.0,848.2279809477678
Federated States of Micronesia,344.14285714285717,247.0,500.0,253.0,102.42914979757086
Fiji,4560.380952380952,3257.0,6257.0,3000.0,92.109303039607
Finland,264412.4761904762,204973.0,303945.0,98972.0,48.28538392861499
France,2739047.1904761903,2193358.0,3211292.0,1017934.0,46.409842807238945
Gabon,16142.190476190477,9468.0,20391.0,10923.0,115.36755386565272
Gambia,1657.1904761904761,1028.0,2771.0,1743.0,169.55252918287937
Georgia,17713.0,6590.0,35353.0,28763.0,436.4643399089529
Germany,3833331.8095238097,2894992.0,4744804.0,1849812.0,63.89696413668846
Ghana,58166.23809523809,26415.0,88332.0,61917.0,234.40090857467348
Greece,247527.7619047619,242450.0,267348.0,24898.0,10.269333883274902
Grenada,999.8571428571429,695.0,1464.0,769.0,110.6474820143885
Guatemala,65272.42857142857,28179.0,121177.0,92998.0,330.0259058163881
Guinea,11833.904761904761,4506.0,30094.0,25588.0,567.8650687971593
Guinea-Bissau,1314.3809523809523,640.0,2274.0,1634.0,255.3125
Guyana,7076.285714285715,1712.0,25822.0,24110.0,1408.2943925233644
Haiti,15464.142857142857,7186.0,33548.0,26362.0,366.8522126356805
Honduras,21738.52380952381,9672.0,38172.0,28500.0,294.66501240694794
Hong Kong,300380.4761904762,181556.0,423999.0,242443.0,133.53620921368613
Hungary,154985.33333333334,113098.0,237070.0,123972.0,109.61467046278447
Iceland,21677.04761904762,16853.0,35309.0,18456.0,109.51165964516703
India,2297692.6666666665,820385.0,4187017.0,3366632.0,410.37220329479453
Indonesia,924536.6666666666,310920.0,1429743.0,1118823.0,359.8427248166731
Iran,385052.09523809527,228428.0,341013.0,112585.0,49.28686500779239
Iraq,188074.80952380953,50065.0,258020.0,207955.0,415.370018975332
Ireland,353843.4285714286,211993.0,598840.0,386847.0,182.48102531687366
Israel,339679.3333333333,147442.0,583361.0,435919.0,295.6545624720229
Italy,2126969.0,1866013.0,2422855.0,556842.0,29.84127120229066
Ivory Coast,51271.52380952381,23626.0,94483.0,70857.0,299.91111487344455
Jamaica,14913.761904761905,11233.0,21411.0,10178.0,90.60802991186682
Japan,4957259.619047619,4831467.0,4186431.0,-645036.0,-13.350727636140327
Jordan,36266.90476190476,13134.0,56102.0,42968.0,327.1509060453784
Kazakhstan,180419.47619047618,57125.0,300538.0,243413.0,426.10590809628013
Kenya,74337.28571428571,26307.0,131673.0,105366.0,400.52457520811953
Kiribati,208.95238095238096,114.0,312.0,198.0,173.6842105263158
Kosovo,7141.238095238095,3828.0,11274.0,7446.0,194.5141065830721
Kuwait,136846.04761904763,80799.0,153101.0,72302.0,89.48378073986063
Kyrgyzstan,8214.380952380952,2459.0,19849.0,17390.0,707.1980479869866
Laos,12365.285714285714,3079.0,16322.0,13243.0,430.10717765508286
Latvia,31126.619047619046,16332.0,45535.0,29203.0,178.80847416115603
Lebanon,36182.80952380953,21497.0,28280.0,6783.0,31.55323998697493
Lesotho,2208.4285714285716,1730.0,2404.0,674.0,38.95953757225434
Liberia,2898.095238095238,944.0,5166.0,4222.0,447.2457627118645
Libya,59250.19047619047,48852.0,47484.0,-1368.0,-2.800294767870302
Lithuania,51904.333333333336,26118.0,89192.0,63074.0,241.49628608622407
Luxembourg,66880.85714285714,37693.0,96613.0,58920.0,156.31549624598733
Macau,37344.23809523809,12160.0,53354.0,41194.0,338.76644736842104
Madagascar,12291.714285714286,5859.0,18708.0,12849.0,219.3036354326677
Malawi,9596.0,5148.0,13959.0,8811.0,171.15384615384613
Malaysia,312218.2380952381,150345.0,444984.0,294639.0,195.97525690910905
Maldives,4044.5714285714284,1163.0,7480.0,6317.0,543.164230438521
Mali,14537.190476190477,6251.0,23208.0,16957.0,271.2685970244761
Malta,13712.619047619048,6392.0,25750.0,19358.0,302.8473091364205
Marshall Islands,202.76190476190476,138.0,297.0,159.0,115.21739130434783
Mauritania,7094.285714285715,2936.0,11470.0,8534.0,290.6675749318801
Mauritius,11831.761904761905,6867.0,15495.0,8628.0,125.6443861948449
Mexico,1273647.142857143,917572.0,1692640.0,775068.0,84.46944762917788
Moldova,9886.142857142857,2988.0,19462.0,16474.0,551.338688085676
Mongolia,12008.52380952381,2523.0,25804.0,23281.0,922.7506936187078
Montenegro,4980.333333333333,2261.0,8562.0,6301.0,278.68199911543564
Morocco,116016.57142857143,67468.0,165835.0,98367.0,145.79800794450705
Mozambique,15252.238095238095,8868.0,23771.0,14903.0,168.05367613892648
Myanmar,50662.90476190476,12051.0,64944.0,52893.0,438.90963405526514
Namibia,11395.095238095239,7324.0,14214.0,6890.0,94.07427635172037
Nauru,97.61904761904762,31.0,169.0,138.0,445.1612903225806
Nepal,26382.238095238095,9331.0,46080.0,36749.0,393.83774515057337
Netherlands,927702.5714285715,688514.0,1272011.0,583497.0,84.74729635127245
New Zealand,187799.38095238095,113264.0,248666.0,135402.0,119.54548665065687
Nicaragua,12193.047619047618,6321.0,21155.0,14834.0,234.6780572694194
Niger,11243.52380952381,4372.0,21874.0,17502.0,400.32021957914
Nigeria,376979.61904761905,169645.0,188271.0,18626.0,10.979398154970674
North Macedonia,11462.42857142857,6257.0,17885.0,11628.0,185.8398593575196
Norway,444429.28571428574,309979.0,504276.0,194297.0,62.68069772468458
Oman,79462.80952380953,35507.0,104351.0,68844.0,193.88852902244628
Pakistan,277411.6666666667,145209.0,373078.0,227869.0,156.92484625608606
Palau,244.0,186.0,333.0,147.0,79.03225806451613
Palestine,13215.952380952382,5126.0,17848.0,12722.0,248.18571985953957
Panama,52442.47619047619,17244.0,91675.0,74431.0,431.63419160287634
Papua New Guinea,20830.95238095238,7339.0,32835.0,25496.0,347.4042785120589
Paraguay,33406.71428571428,10738.0,45465.0,34727.0,323.40286831812256
Peru,191958.85714285713,74232.0,303293.0,229061.0,308.57446923159824
Philippines,298460.09523809527,107420.0,497495.0,390075.0,363.1307019177062
Poland,571019.0,307158.0,979960.0,672802.0,219.04101472206486
Portugal,242046.19047619047,197363.0,321440.0,124077.0,62.86740675810562
Puerto Rico,102747.80952380953,83915.0,122522.0,38607.0,46.00726926056129
Qatar,157652.2857142857,44636.0,222776.0,178140.0,399.09490097679003
Republic of the Congo,13040.714285714286,6654.0,15281.0,8627.0,129.6513375413285
Romania,226732.52380952382,98547.0,403395.0,304848.0,309.34275015982223
Russia,1716128.9523809524,817717.0,2076396.0,1258679.0,153.92599151051036
Rwanda,8681.0,2945.0,14771.0,11826.0,401.5619694397284
Saint Kitts and Nevis,901.4761904761905,547.0,1129.0,582.0,106.39853747714807
Saint Lucia,1797.4285714285713,1135.0,2632.0,1497.0,131.8942731277533
Saint Vincent and the Grenadines,833.952380952381,580.0,1242.0,662.0,114.13793103448275
Samoa,796.1904761904761,486.0,1160.0,674.0,138.68312757201647
San Marino,1811.4285714285713,1788.0,2047.0,259.0,14.48545861297539
Saudi Arabia,725031.619047619,328205.0,1083749.0,755544.0,230.20490242379
Senegal,21070.190476190477,11015.0,34728.0,23713.0,215.2791647753064
Serbia,54018.52380952381,28143.0,92549.0,64406.0,228.85264541804355
Seychelles,1444.857142857143,919.0,2198.0,1279.0,139.17301414581067
Sierra Leone,5712.0,2738.0,8386.0,5648.0,206.281957633309
Singapore,329467.71428571426,127808.0,564774.0,436966.0,341.89252628943416
Slovakia,100451.19047619047,48912.0,147031.0,98119.0,200.60312397775596
Slovenia,52653.23809523809,36002.0,75224.0,39222.0,108.94394755846896
So Tom and Prncipe,361.1904761904762,125.0,864.0,739.0,591.2
Solomon Islands,1244.142857142857,477.0,1898.0,1421.0,297.90356394129975
Somalia,8396.066666666668,,12994.0,,
South Africa,374665.0,288749.0,410338.0,121589.0,42.108890420399725
South Korea,1503721.8095238095,971540.0,1790322.0,818782.0,84.27671531794883
South Sudan,8034.466666666666,,3998.0,,
Spain,1426820.761904762,1155306.0,1799511.0,644205.0,55.76055174992599
Sri Lanka,73086.42857142857,28880.0,98964.0,70084.0,242.6731301939058
Sudan,47539.71428571428,35183.0,31506.0,-3677.0,-10.451070119091607
Suriname,4011.0,2393.0,4506.0,2113.0,88.29920601755119
Sweden,535319.619047619,391691.0,620297.0,228606.0,58.36386335146838
Switzerland,694967.7619047619,418265.0,947125.0,528860.0,126.44137090122291
Syria,55735.76190476191,28881.0,60043.0,31162.0,107.89792597209238
Taiwan,566851.5714285715,374060.0,804889.0,430829.0,115.17644228198685
Tajikistan,7747.380952380952,2311.0,14836.0,12525.0,541.9731717871051
Tanzania,49145.04761904762,17174.0,85977.0,68803.0,400.62303482007684
Thailand,409374.3333333333,189318.0,546224.0,356906.0,188.52195776418512
Timor-Leste,1541.5714285714287,462.0,2115.0,1653.0,357.79220779220776
Togo,6300.523809523809,3080.0,10023.0,6943.0,225.4220779220779
Tonga,431.5238095238095,262.0,568.0,306.0,116.79389312977099
Trinidad and Tobago,24326.714285714286,16170.0,26467.0,10297.0,63.67965367965368
Tunisia,45364.47619047619,33851.0,56291.0,22440.0,66.29050840447846
Turkey,859028.619047619,504800.0,1437406.0,932606.0,184.74762282091916
Turkmenistan,52159.857142857145,29363.0,89054.0,59691.0,203.2864489323298
Tuvalu,43.76190476190476,23.0,65.0,42.0,182.6086956521739
Uganda,33589.666666666664,12460.0,64277.0,51817.0,415.86677367576243
Ukraine,147687.19047619047,85996.0,205742.0,119746.0,139.24601144239267
United Arab Emirates,377707.6666666667,180616.0,548598.0,367982.0,203.73721043539885
United Kingdom,2919347.0,2546038.0,3839180.0,1293142.0,50.79036526556163
United States,19491997.23809524,13039200.0,30507217.0,17468017.0,133.96540431928338
Uruguay,54449.333333333336,18986.0,79731.0,60745.0,319.9462762035184
Uzbekistan,67980.71428571429,17939.0,132484.0,114545.0,638.5250013936118
Vanuatu,814.8571428571429,390.0,1267.0,877.0,224.87179487179486
Venezuela,174264.80952380953,143375.0,108511.0,-34864.0,-24.316652136006976
Vietnam,256105.47619047618,73197.0,490970.0,417773.0,570.7515335327951
Yemen,26444.04761904762,16732.0,17401.0,669.0,3.9983265598852498
Zambia,22034.380952380954,8329.0,28910.0,20581.0,247.1004922559731
Zimbabwe,21559.190476190477,9045.0,38172.0,29127.0,322.0232172470979
