Country,Slope,Intercept,R2,Mean_GDP
Afghanistan,432.35194805194806,-855325.5562770562,0.3486862878300104,15863.619047619048
Albania,752.5909090909091,-1501407.158008658,0.7403986758437293,15063.52380952381
Algeria,5022.518181818182,-9925170.803030303,0.5078790132202617,195203.33333333334
Andorra,0.34415584415584416,2713.0497835497836,2.8659292621266087e-05,3406.5238095238096
Angola,1839.1402597402594,-3598059.2424242417,0.1224335662016308,107808.38095238095
Antigua and Barbuda,41.47012987012987,-81997.1212121212,0.6551954447940672,1565.1904761904761
Argentina,17477.405194805193,-34721521.7056277,0.5439678005314551,495449.7619047619
Armenia,814.7974025974025,-1628761.1948051949,0.739080952889987,13055.57142857143
Aruba,64.52467532467533,-127056.17316017317,0.6723574449694353,2961.0476190476193
Australia,43526.7077922078,-86345338.62987016,0.7360065180653981,1360977.5714285714
Austria,7833.618181818181,-15356492.73160173,0.7520780865907689,428247.90476190473
Azerbaijan,1858.8259740259741,-3691829.909090909,0.37081373404683493,53704.42857142857
Bahamas,223.83506493506493,-439436.6558441558,0.689067092321109,11591.0
Bahrain,1433.92987012987,-2855353.688311688,0.9475931709150144,34015.0
Bangladesh,22032.0,-44136494.952380955,0.9728382960158364,257985.04761904763
Barbados,101.33116883116884,-198624.0194805195,0.6508922115915339,5558.285714285715
Belarus,1329.1519480519482,-2617794.4134199135,0.44410231555688334,60446.76190476191
Belgium,10664.115584415586,-20961075.521645024,0.7440173867978793,527117.380952381
Belize,86.19090909090909,-171453.30086580088,0.834276903552874,2221.3809523809523
Benin,690.5467532467533,-1378260.8982683984,0.9271177768902503,13190.809523809523
Bhutan,118.2012987012987,-236061.9978354978,0.9692942517820539,2113.6190476190477
Bolivia,2075.603896103896,-4150770.041125541,0.9636470213346718,31571.809523809523
Bosnia and Herzegovina,674.351948051948,-1339161.0324675324,0.7888983654042525,19658.14285714286
Botswana,520.4467532467532,-1033786.9220779222,0.8982932026959991,14913.285714285714
Brazil,26397.71038961039,-51285985.435064934,0.13267959288095546,1905401.0
Brunei,60.31428571428571,-107061.47619047618,0.023330962643594442,14471.809523809523
Bulgaria,3464.9454545454546,-6916759.519480519,0.8271629662744995,65105.57142857143
Burkina Faso,872.7493506493507,-1744231.893939394,0.9275347407418927,14358.047619047618
Burundi,192.80649350649352,-385634.6558441559,0.8345912706488128,2870.4285714285716
Cambodia,2131.5675324675326,-4269314.006493506,0.9843797320750383,25794.571428571428
Cameroon,1569.8337662337663,-3127565.753246753,0.9489163159163163,35649.28571428572
Canada,41299.66883116883,-81481036.64718615,0.7172243228395514,1737796.0476190476
Cape Verde,49.34415584415584,-97404.14069264069,0.7073743852704106,2024.3333333333333
Central African Republic,52.4116883116883,-103446.45670995669,0.5954663412899399,2163.095238095238
Chad,363.27142857142854,-716911.9761904761,0.5458026932551721,15079.952380952382
Chile,9331.001298701298,-18549856.616883114,0.861537069678898,252111.0
China,907320.1272727273,-1817141035.5974026,0.9894990105639591,11109020.857142856
Colombia,9317.009090909092,-18467274.50865801,0.5630698789832116,306498.8095238095
Comoros,35.03506493506493,-69517.03679653678,0.8958232329669654,1078.6190476190477
Costa Rica,3522.4571428571426,-7043204.0,0.9371917749606934,54547.142857142855
Croatia,1523.8285714285714,-3006670.095238095,0.4895615262314077,63844.47619047619
Cyprus,595.6,-1173730.238095238,0.49928510434599266,26403.761904761905
Czech Republic,8498.283116883116,-16885275.194805194,0.7694102861125122,238765.2857142857
DR Congo,3029.5376623376624,-6064541.2467532465,0.9635622340071884,39977.142857142855
Denmark,6351.264935064934,-12448467.463203462,0.6979083543085587,349331.38095238095
Djibouti,170.95324675324676,-341986.03030303033,0.9817038597145155,2484.7619047619046
Dominica,13.832467532467533,-27339.75541125541,0.8369161984581701,532.6666666666666
Dominican Republic,4436.328571428571,-8864079.642857142,0.9441526619963968,75122.42857142857
Ecuador,4024.8623376623377,-8019937.324675325,0.9051743488388933,90160.28571428571
Egypt,14760.274025974026,-29454093.59090909,0.7753931599224063,287858.5714285714
El Salvador,1009.6974025974025,-2010465.6948051946,0.9469321566875997,24074.571428571428
Equatorial Guinea,-166.63116883116885,350275.7575757576,0.056467092484736324,14513.952380952382
Eritrea,52.371428571428574,-103742.14285714287,0.442851796176239,1786.2857142857142
Estonia,1317.6532467532468,-2626911.7683982686,0.8922616984622594,28159.52380952381
Eswatini,83.23116883116884,-163395.70995671,0.6024867965058059,4315.0952380952385
Ethiopia,6735.846753246753,-13505003.922077922,0.9262843055300998,67727.28571428571
Federated States of Micronesia,11.545454545454545,-22919.94805194805,0.9374753864388414,344.14285714285717
Fiji,128.15714285714284,-253676.2619047619,0.7564997602975776,4560.380952380952
Finland,2981.450649350649,-5743210.582251081,0.5021248329870163,264412.4761904762
France,26686.844155844155,-51034943.783549786,0.41509007835072614,2739047.1904761903
Gabon,431.8558441558441,-854047.3354978354,0.6526902778273965,16142.190476190477
Gambia,66.5025974025974,-132345.54329004328,0.7652719797792252,1657.1904761904761
Georgia,1086.8402597402596,-2172270.1233766233,0.7710700718851402,17713.0
Germany,68584.01168831169,-134363451.74242422,0.7769546641407263,3833331.8095238097
Ghana,2770.238961038961,-5523865.268398268,0.9381420755882325,58166.23809523809
Greece,-3919.468831168831,8145257.456709957,0.2811616675769045,247527.7619047619
Grenada,36.77402597402597,-73099.80519480517,0.9164809245820082,999.8571428571429
Guatemala,4300.024675324676,-8599277.292207792,0.9606675214688069,65272.42857142857
Guinea,1048.4272727272726,-2100747.0497835493,0.813770270137355,11833.904761904761
Guinea-Bissau,74.34155844155845,-148483.85930735932,0.9410219907671342,1314.3809523809523
Guyana,916.5389610389611,-1839749.720779221,0.630330116160466,7076.285714285715
Haiti,860.2545454545455,-1717948.7662337662,0.765458184049768,15464.142857142857
Honduras,1288.4324675324676,-2574452.8982683984,0.9436024261151951,21738.52380952381
Hong Kong,11825.289610389611,-23527578.08874459,0.9740602056925018,300380.4761904762
Hungary,4650.922077922078,-9216622.653679652,0.6894849937922266,154985.33333333334
Iceland,894.6311688311688,-1781004.7575757576,0.709877217692888,21677.04761904762
India,154883.26883116883,-309792094.0281385,0.9728503002714258,2297692.6666666665
Indonesia,51185.635064935064,-102214517.98917748,0.9468987989495986,924536.6666666666
Iran,-2819.0272727272727,6065392.049783549,0.02859924741708916,385052.09523809527
Iraq,9663.7,-19284280.69047619,0.7518931624895029,188074.80952380953
Ireland,20000.681818181816,-39947530.435064934,0.8490453980387087,353843.4285714286
Israel,20841.325974025975,-41655592.504329,0.968713250319759,339679.3333333333
Italy,5985.342857142858,-9933496.857142858,0.04324119062189202,2126969.0
Ivory Coast,3253.2493506493506,-6504025.917748917,0.9519256801592754,51271.52380952381
Jamaica,360.51558441558444,-711525.1406926408,0.7315972026823127,14913.761904761905
Japan,-44301.64675324675,94225077.82683983,0.20705755537707568,4957259.619047619
Jordan,2004.4350649350652,-4002669.7510822513,0.9797797922438622,36266.90476190476
Kazakhstan,8339.058441558442,-16622783.283549784,0.6655071206642588,180419.47619047618
Kenya,5219.380519480521,-10442714.461038964,0.9855466086176454,74337.28571428571
Kiribati,9.285714285714286,-18501.761904761905,0.9304329140685058,208.95238095238096
Kosovo,341.2714285714286,-680520.6904761905,0.9351704469661526,7141.238095238095
Kuwait,2336.374025974026,-4570947.614718615,0.26017544976254675,136846.04761904763
Kyrgyzstan,661.5012987012988,-1324710.735930736,0.8089184192931881,8214.380952380952
Laos,765.4597402597402,-1530036.0909090908,0.8003375879091548,12365.285714285714
Latvia,1032.9870129870128,-2050342.212121212,0.7355267490292686,31126.619047619046
Lebanon,19.15064935064935,-2405.7489177489115,9.396192693428296e-05,36182.80952380953
Lesotho,26.854545454545455,-51903.48051948052,0.3440451998385261,2208.4285714285716
Liberia,178.33896103896103,-356454.9112554112,0.9200789604004902,2898.095238095238
Libya,-1242.4844155844155,2562856.2878787876,0.23685252580374055,59250.19047619047
Lithuania,2552.0857142857144,-5090548.3809523815,0.8297400181762828,51904.333333333336
Luxembourg,2368.515584415584,-4705678.045454544,0.8996993435257007,66880.85714285714
Macau,1448.077922077922,-2880532.774891775,0.3677999628570333,37344.23809523809
Madagascar,493.5402597402598,-982191.9090909092,0.9014386514586455,12291.714285714286
Malawi,356.6038961038961,-708960.8506493507,0.764821262889063,9596.0
Malaysia,12471.2,-24817249.76190476,0.8996795426200815,312218.2380952381
Maldives,290.5909090909091,-581496.1103896104,0.9312441347046568,4044.5714285714284
Mali,786.4948051948052,-1570249.841991342,0.974469011621803,14537.190476190477
Malta,897.3090909090909,-1794365.1991341992,0.924818615281384,13712.619047619048
Marshall Islands,7.692207792207791,-15297.036796536793,0.9695920714503259,202.76190476190476
Mauritania,354.6922077922078,-707610.512987013,0.9176466302251319,7094.285714285715
Mauritius,343.95454545454544,-681236.6471861472,0.7409813823296796,11831.761904761905
Mexico,32472.675324675332,-64158793.636363655,0.6417187904884909,1273647.142857143
Moldova,710.2571428571429,-1421282.0,0.9136631277390029,9886.142857142857
Mongolia,952.216883116883,-1906708.4956709954,0.8882025247864797,12008.52380952381
Montenegro,227.73116883116884,-453897.9718614719,0.7997802203464428,4980.333333333333
Morocco,3752.95974025974,-7446197.305194804,0.903070839177535,116016.57142857143
Mozambique,527.4740259740261,-1047607.9242424243,0.677332746087823,15252.238095238095
Myanmar,2611.931168831169,-5212378.4004329005,0.6818927505650337,50662.90476190476
Namibia,256.1766233766234,-504800.80086580093,0.6143201833799032,11395.095238095239
Nauru,7.664935064935065,-15347.225108225108,0.9358590644813531,97.61904761904762
Nepal,1812.6103896103896,-3626027.6969696973,0.9820384232485663,26382.238095238095
Netherlands,19314.09350649351,-37990195.84415585,0.6325698465891351,927702.5714285715
New Zealand,7518.981818181819,-14962948.982683985,0.946875449040586,187799.38095238095
Nicaragua,622.8012987012987,-1242751.5692640694,0.9128033398028912,12193.047619047618
Niger,728.1506493506494,-1455980.0346320346,0.9321167923944447,11243.52380952381
Nigeria,3089.5467532467546,-5848457.088744591,0.027056794845751738,376979.61904761905
North Macedonia,457.85064935064935,-911106.6298701299,0.9009717609644886,11462.42857142857
Norway,5380.409090909092,-10397095.032467535,0.2191853832457757,444429.28571428574
Oman,2952.523376623377,-5869871.794372295,0.762234733009873,79462.80952380953
Pakistan,11671.954545454546,-23241576.742424242,0.9205861627334238,277411.6666666667
Palau,6.3896103896103895,-12631.064935064935,0.701747469013865,244.0
Palestine,715.5766233766234,-1428670.9437229438,0.9184987451847603,13215.952380952382
Panama,3672.4688311688315,-7347582.21861472,0.9660620402987828,52442.47619047619
Papua New Guinea,1227.2298701298703,-2452037.235930736,0.9388834550179916,20830.95238095238
Paraguay,1463.3727272727274,-2915289.331168832,0.8025072945135514,33406.71428571428
Peru,9832.146753246752,-19619816.85064935,0.9246468213748383,191958.85714285713
Philippines,17829.32077922078,-35627621.27489177,0.9862512012287293,298460.09523809527
Poland,24183.84285714286,-48159424.35714286,0.7927183624865469,571019.0
Portugal,3291.025974025974,-6389371.147186147,0.38266877673309296,242046.19047619047
Puerto Rico,1507.8727272727274,-2935615.735930736,0.8689520620620849,102747.80952380953
Qatar,7495.354545454545,-14945487.123376623,0.700611415637711,157652.2857142857
Republic of the Congo,241.44025974025968,-473461.409090909,0.2273422032871183,13040.714285714286
Romania,11588.5,-23124094.976190478,0.8114527629448283,226732.52380952382
Russia,37172.024675324676,-73185500.76839827,0.30564615701889686,1716128.9523809524
Rwanda,560.2415584415584,-1120205.74025974,0.9690059882373488,8681.0
Saint Kitts and Nevis,23.02077922077922,-45485.39393939394,0.7570421374428452,901.4761904761905
Saint Lucia,63.17142857142857,-125493.0,0.839004086838153,1797.4285714285713
Saint Vincent and the Grenadines,24.740259740259745,-49017.670995671004,0.8539085013892176,833.952380952381
Samoa,24.966233766233763,-49510.77056277056,0.8655979133832244,796.1904761904761
San Marino,-7.253246753246754,16426.72077922078,0.03131757610376141,1811.4285714285713
Saudi Arabia,36047.94285714286,-71911573.23809525,0.8870779199314689,725031.619047619
Senegal,1026.0194805194806,-2046359.0627705627,0.926105442266665,21070.190476190477
Serbia,2231.6116883116883,-4442679.028138528,0.6847520727497461,54018.52380952381
Seychelles,67.36493506493507,-134295.48701298703,0.854129394331359,1444.857142857143
Sierra Leone,236.6792207792208,-471196.6298701299,0.8450013196670946,5712.0
Singapore,20096.124675324674,-40164223.5064935,0.948776046477959,329467.71428571426
Slovakia,3403.535064935065,-6757671.965367965,0.7992415190635115,100451.19047619047
Slovenia,1322.7233766233767,-2612634.365800866,0.6433387733708763,52653.23809523809
So Tom and Prncipe,32.336363636363636,-64796.582251082255,0.8678942710177192,361.1904761904762
Solomon Islands,67.3935064935065,-134553.7727272727,0.9343747508038212,1244.142857142857
Somalia,531.6285714285714,-1064430.3904761905,0.9658521342906388,8396.066666666668
South Africa,3602.9506493506497,-6885280.558441559,0.2290360689676496,374665.0
South Korea,48549.2025974026,-96322921.42424242,0.897930884493518,1503721.8095238095
South Sudan,-768.6964285714286,1559263.8595238093,0.40807616917242145,8034.466666666666
Spain,12031.612987012988,-22816879.40692641,0.2028517496836807,1426820.761904762
Sri Lanka,3114.6259740259743,-6202884.90909091,0.7778278093961339,73086.42857142857
Sudan,-1361.8428571428572,2791653.0714285714,0.3729497974508909,47539.71428571428
Suriname,11.755844155844157,-19677.025974025975,0.006158608911402117,4011.0
Sweden,8267.1012987013,-16122889.4978355,0.6332183094917556,535319.619047619
Switzerland,22291.035064935062,-44221467.89393939,0.8949530349186031,694967.7619047619
Syria,1029.2714285714287,-2018246.166666667,0.4678730047685165,55735.76190476191
Taiwan,22898.757142857143,-45574144.07142857,0.9580194657640727,566851.5714285715
Tajikistan,472.88701298701295,-945119.9502164501,0.8431867612995055,7747.380952380952
Tanzania,3340.411688311688,-6681784.504329004,0.9865258702101202,49145.04761904762
Thailand,16891.502597402596,-33627003.40043289,0.9136016233706349,409374.3333333333
Timor-Leste,117.2948051948052,-234807.46103896108,0.7422084971743568,1541.5714285714287
Togo,315.4532467532468,-629337.7683982685,0.9586832568935502,6300.523809523809
Tonga,13.748051948051948,-27270.800865800866,0.9296318600164728,431.5238095238095
Trinidad and Tobago,236.8233766233766,-452872.38961038954,0.17651303308065394,24326.714285714286
Tunisia,458.6623376623376,-878840.1341991341,0.31145913146200993,45364.47619047619
Turkey,26638.484415584415,-52817517.478354976,0.5550017165538091,859028.619047619
Turkmenistan,2362.593506493506,-4708466.058441558,0.7657820646450607,52159.857142857145
Tuvalu,2.155844155844156,-4300.26406926407,0.9488022330159485,43.76190476190476
Uganda,2041.8961038961038,-4080830.9826839827,0.900657472791947,33589.666666666664
Ukraine,3033.325974025974,-5964464.647186148,0.2619020183806725,147687.19047619047
United Arab Emirates,14783.419480519478,-29410882.586580083,0.8402858002976907,377707.6666666667
United Kingdom,39977.707792207795,-77635734.20129871,0.4687193677410069,2919347.0
United States,815594.6363636364,-1623931195.034632,0.9209757598730147,19491997.23809524
Uruguay,2723.2649350649353,-5432929.510822511,0.8401427636584244,54449.333333333336
Uzbekistan,4234.620779220779,-8464780.155844154,0.7917690960174346,67980.71428571429
Vanuatu,38.506493506493506,-76775.72727272726,0.9640941952179913,814.8571428571429
Venezuela,-10737.505194805195,21810337.777056277,0.45332682558749005,174264.80952380953
Vietnam,20538.693506493506,-41129361.93939394,0.9868011665471602,256105.47619047618
Yemen,-319.6935064935065,670626.4632034632,0.05635767321354324,26444.04761904762
Zambia,696.187012987013,-1380782.45021645,0.5507975556797379,22034.380952380954
Zimbabwe,1664.435064935065,-3332277.4653679654,0.9150124725318048,21559.190476190477
